Total Volume, Total Energy, Total Energy (Particle) 
1.881200, 13434.233996, 11617.154712
1.877600, 13389.408812, 11584.356362
1.881600, 13437.917340, 11546.910426
1.880000, 13437.266713, 11505.020298
1.875600, 13387.972869, 11458.988954
1.881600, 13455.945199, 11411.408124
1.880400, 13436.818186, 11364.824012
1.882000, 13452.722569, 11319.431921
1.884800, 13476.198289, 11275.366653
1.882000, 13449.399799, 11232.791401
1.882800, 13446.203269, 11191.861447
1.886800, 13503.350012, 11152.673834
1.883200, 13442.313582, 11115.407153
1.884800, 13462.048239, 11080.172611
1.883600, 13443.309702, 11047.031761
1.885600, 13449.487271, 11016.152556
1.876400, 11561.448707, 9277.793576
1.884800, 11641.577035, 9266.289317
1.889200, 6112.435238, 3954.543139
1.886800, -7791.281811, -9159.224387
1.887600, -20187.240650, -20757.115973
1.887600, -29773.347807, -29608.450338
1.886800, -37817.376493, -37087.119634
1.880800, -41809.687305, -40694.088269
1.887600, -44668.077957, -43057.920864
1.888400, -48686.742646, -46748.549322
1.886800, -55369.506406, -53055.856766
1.886400, -57907.624807, -55644.000747
1.888800, -58298.322409, -55800.410010
1.886400, -58264.703274, -56065.023824
1.882400, -58177.442937, -56436.207980
1.884000, -58356.473854, -56912.539419
1.885600, -58560.436458, -57491.027707
1.890400, -58784.570164, -58168.195539
1.888400, -58878.195512, -58938.268618
1.888000, -58977.441305, -59793.904174
1.891600, -59305.861549, -60730.429636
1.894800, -60057.185553, -61707.937027
1.890400, -60463.364709, -62719.691762
1.893600, -60854.201975, -63786.970192
1.897600, -61877.523615, -64849.094903
1.899200, -62069.255654, -65962.647779
1.901200, -64055.706585, -66991.621201
1.898800, -64410.228410, -68071.000675
1.896400, -66575.587033, -69074.366778
1.899200, -67535.884123, -70024.569203
1.896400, -71149.980110, -70771.365670
1.899600, -72371.046997, -71430.762350
1.898800, -73194.969448, -72069.507843
1.904400, -73902.818039, -72731.845905
1.899600, -73371.249498, -73392.009843
1.904400, -73377.697341, -74102.574176
1.908400, -76052.926396, -74588.301196
1.904000, -77512.009797, -75021.347552
1.909200, -78044.141952, -75515.222386
1.906800, -77893.106606, -76045.646857
1.906000, -78888.189265, -76581.439007
1.906400, -79391.976439, -77138.871300
1.905200, -79792.267045, -77721.736988
1.909600, -80449.450527, -78317.696293
1.908800, -80886.279122, -78921.610057
1.905200, -81287.415113, -79523.692386
1.915600, -82245.092907, -80122.110609
1.914800, -82783.921232, -80705.805002
1.920000, -83682.457381, -81278.497463
1.912000, -83974.930299, -81836.307635
1.915200, -84669.246809, -82381.142109
1.921600, -85489.758391, -82908.622606
1.915600, -85780.067719, -83417.612394
1.920800, -86591.282259, -83913.800784
1.921200, -87122.213453, -84403.028941
1.924400, -87668.139172, -84879.011952
1.915200, -87670.919488, -85340.483523
1.912000, -88044.325899, -85794.511228
1.912800, -88644.641988, -86236.066725
1.918000, -89216.735901, -86666.544388
1.914000, -89508.247742, -87088.371095
1.918800, -90141.789870, -87491.496411
1.920400, -90578.822384, -87891.507929
1.923200, -91234.293651, -88276.854256
1.920800, -91492.724301, -88659.518213
1.927200, -92076.784857, -89031.820600
1.933200, -92733.229174, -89395.937480
1.930800, -92953.440195, -89746.653486
1.931200, -93282.184860, -90091.151293
1.934000, -93820.506512, -90418.511734
1.938800, -94386.519945, -90741.031932
1.940000, -94780.023026, -91053.072106
1.935600, -94860.867900, -91360.084509
1.936800, -95175.143135, -91658.307934
1.948400, -95822.691723, -91947.409424
1.947200, -96209.576472, -92225.626685
1.945600, -96374.565136, -92494.916909
1.955600, -96517.873102, -92753.446371
1.954800, -96852.392136, -93003.657872
1.959200, -97279.217343, -93242.151909
1.952800, -97390.777893, -93468.919542
1.950400, -97559.553322, -93687.332859
1.954000, -98082.451450, -93905.747565
1.956800, -98199.837560, -94114.102360
1.959200, -98036.660324, -94308.268461
1.962000, -98794.163189, -94492.207753
1.960800, -98951.116829, -94662.896726
1.968400, -99503.281978, -94823.691938
1.976400, -99166.243835, -94980.198978
1.970800, -40203.959504, -41164.085298
1.980800, -788.284123, -5064.304799
1.976000, 20551.948589, 15382.335276
1.983200, 35493.806451, 29108.353848
1.986800, 45650.573710, 38332.748941
1.985200, 58042.021548, 49837.664324
1.988800, 95991.808288, 84086.345317
1.984000, 142839.157091, 127466.664514
1.998000, 143946.769132, 127565.956181
1.998800, 143985.431339, 127596.528909
1.999600, 144078.669239, 127547.195836
1.996000, 143602.397023, 127411.671516
2.007200, 144382.434866, 127185.449578
2.010800, 144625.640974, 126855.331386
2.007600, 145642.730603, 126359.170455
2.016800, 146721.582293, 125723.544375
2.009600, 144672.381550, 124978.633632
2.019600, 145577.707004, 124094.773442
2.022000, 145637.517954, 123072.463642
2.026800, 146067.242579, 121910.959849
2.026800, 146168.373999, 120603.723117
2.035600, 146957.540908, 119149.635781
2.042400, 147565.909436, 117547.185539
2.041200, 147611.557788, 115790.308468
2.051600, 148470.181561, 113873.589332
2.052800, 148485.876948, 111800.805318
2.048800, 148248.660882, 109574.939786
2.064400, 149642.351593, 107185.731115
