Total Volume, Total Energy, Total Energy (Particle) 
1.8484,11772.050541,11354.148842
1.8712,11962.080894,11314.725032
1.8724,11944.969759,11263.189718
1.872,11863.820785,11202.986026
1.8732,11827.258736,11135.008256
1.8696,11692.570111,11060.274539
1.8716,11646.664827,10980.516953
1.8748,11586.30266,10897.154367
1.8716,11461.968918,10811.137457
1.8744,11407.41877,10723.984769
1.8732,11335.99574,10637.101141
1.8736,11240.948959,10553.857423
1.8764,11230.782168,10472.560771
1.8672,11078.555162,10392.913995
1.8616,11019.593362,10295.299447
1.8592,10900.079389,10170.337305
1.8536,10769.486706,10075.893899
1.8552,10689.706415,9986.498917
1.8484,10582.474894,9933.220313
1.846,10474.129947,9892.308822
1.8412,10331.418341,9870.797643
1.8452,10328.929148,9868.762911
1.8468,10342.400871,9871.759626
1.8436,10256.359236,9891.092929
1.8364,10165.079659,9923.944838
1.8408,10174.954559,9967.902397
1.8324,10086.670262,10016.606109
1.8372,10182.584315,10066.728494
1.8404,10217.36862,10117.13654
1.8348,10181.686301,10169.986433
1.85,10374.19786,10219.859289
1.84,10341.392659,10267.023149
1.8416,10350.458599,10307.825156
1.8444,10449.389115,10342.593258
1.8532,10555.961758,10361.309422
1.8524,10583.897587,10380.176844
1.85,10561.320413,10392.862666
1.8516,10594.70196,10397.546669
1.8564,10625.090891,10394.205088
1.8536,10638.632589,10383.095157
1.86,10702.789569,10363.544211
1.864,10752.828423,10336.230611
1.8616,10701.907498,10301.116691
1.8676,10689.184713,10258.899444
1.8716,10690.510834,10210.096876
1.8736,10710.477829,10155.300239
1.8692,10589.365959,10094.799062
1.8732,10592.517864,10034.362902
1.8752,10548.653465,9970.366262
1.8772,10485.682848,9904.066087
1.8832,10495.387423,9839.933599
1.8844,10436.278967,9773.985712
1.8844,10338.099155,9713.164074
1.878,10227.71419,9653.08895
1.8896,10279.618872,9599.027031
1.8824,10091.779122,9556.08568
1.8732,9927.052266,9522.802233
1.88,9999.271598,9489.219602
1.8776,9995.576873,9440.633196
1.8796,10053.859738,9414.8701
1.8772,10051.661213,9397.002593
1.8816,10132.015074,9338.790867
1.8764,10160.674132,9323.967727
1.8544,9972.468173,9314.882217
1.8336,9695.522267,9081.572334
1.8276,9581.595747,9186.935146
1.8148,9279.128998,9329.709589
1.814,9171.153405,9364.95507
1.8172,9144.241752,9412.456478
1.8192,9159.556436,9459.598522
1.818,9176.508753,9509.645525
1.8188,9168.288673,9558.576328
1.8224,9232.26168,9600.595547
1.8212,9136.45639,9626.01225
1.8256,9164.744693,9479.281903
1.8244,9177.662752,9484.735338
1.8236,9131.270181,9495.488409
1.8344,9230.035344,9499.116665
