Total Volume, Total Energy, Total Energy (Particle) 
1.774,7753.977337,7845.23417
1.7772,7742.658161,7840.607787
1.7776,7726.506391,7833.075757
1.7808,7759.268973,7825.495723
1.7832,7750.973134,7816.197781
1.7772,7679.586784,7806.680542
1.7788,7653.191004,7796.643174
1.782,7675.130244,7786.428466
1.7796,7653.977527,7774.523485
1.7952,7946.263574,7770.990954
1.7944,7855.097675,7768.276462
1.796,7928.73932,7742.655593
1.7972,7929.605004,7732.127739
1.7984,7955.27967,7723.112446
1.8012,7943.643657,7715.935292
1.8088,8058.447711,7710.579637
1.8072,8038.269108,7706.722636
1.812,8063.413281,7704.481688
1.8128,8108.992931,7704.452357
1.8112,8098.21357,7708.113382
1.8076,8036.06985,7710.743565
1.8184,8153.116271,7719.673836
1.8112,8095.103725,7732.398862
1.8188,8218.201548,7749.187946
1.8224,8257.998248,7767.859095
1.8312,8369.842033,7795.676622
1.8184,8189.942466,7842.983801
1.8288,8212.672504,7898.720264
1.8192,8045.675935,7962.752272
1.8216,8080.653707,8028.59317
1.8148,8037.878763,8030.112403
1.8192,8121.741986,8023.654024
1.8208,8146.632039,7939.710825
1.8152,8073.718452,7878.120674
1.8164,8068.895251,7861.917075
1.822,8084.571404,7856.247039
1.8216,8056.191778,7850.649366
1.8316,8129.891894,7848.090302
1.8292,8129.807026,7847.868589
1.8316,8126.599412,7845.856684
1.8324,8133.045151,7854.259213
1.8364,8147.576475,7849.231994
1.8372,8135.579367,7844.383538
1.8412,8174.2541,7827.22002
1.8448,8179.387398,7808.191093
1.8424,8152.386606,7788.694156
1.8432,8142.916012,7769.585283
1.848,8161.223729,7750.076753
1.8436,8123.229717,7730.87483
1.8444,8126.754936,7712.152785
1.8456,8123.099517,7693.218239
1.8432,8081.15113,7674.316612
1.844,8103.841029,7653.038469
1.8464,8101.972878,7633.006569
1.838,8044.803778,7609.205859
1.8424,8073.92042,7585.624218
1.8332,7986.689505,7561.929681
1.8316,7958.574953,7539.345853
1.8264,7882.616869,7517.796213
1.8244,7868.785922,7504.676069
1.8228,7864.744456,7473.975073
1.8264,7895.400145,7452.364004
1.8332,7956.588082,7450.587086
1.8252,7892.911611,7459.714998
1.8292,7933.423292,7468.194783
1.8224,7887.870983,7471.89915
1.822,7861.554986,7459.122579
1.8256,7874.736819,7461.446914
1.8232,7841.726366,7461.021843
1.8252,7840.374277,7456.523184
1.8268,7847.757388,7448.463627
1.832,7888.354946,7438.518432
1.8228,7798.613044,7426.404531
1.8236,7805.716622,7412.840898
1.826,7816.187925,7398.344986
1.8264,7806.746868,7383.673276
1.8252,7779.765544,7368.637893
1.8288,7803.684537,7353.99063
1.8336,7835.081781,7339.735222
1.832,7818.320758,7326.170432
1.8272,7781.940523,7314.379727
1.8332,7839.433773,7304.28977
1.826,7753.525463,7296.168806
1.83,7766.600178,7288.656615
1.8304,7791.290066,7282.915464
1.8276,7753.620667,7276.539116
1.8284,7802.405496,7271.58266
1.8272,7786.631047,7247.274875
1.8232,7748.561552,7211.430083
1.8176,7708.71116,7212.271114
1.824,7777.051944,7214.164687
1.8212,7756.956224,7218.861739
1.816,7728.160991,7226.18835
1.824,7811.309397,7232.324654
1.8212,7792.756186,7239.334192
1.82,7801.155868,7243.53145
1.8156,7793.096073,7249.862206
1.814,7733.823304,7234.725334
1.8176,7707.762983,7253.101252
1.8112,7598.493406,7274.837662
1.816,7639.138192,7298.914946
1.8244,7682.59903,7310.334368
1.816,7605.986885,7316.301431
1.8196,7602.817532,7313.386347
1.8176,7578.332613,7311.613118
1.826,7652.282047,7307.722667
1.8232,7610.096985,7302.617551
1.826,7621.878629,7295.823589
1.8264,7638.723883,7287.840383
1.83,7625.877324,7278.335765
1.8332,7675.284615,7268.049337
1.8272,7603.565636,7257.16145
1.8288,7613.751979,7245.935071
1.826,7601.449298,7234.762416
1.826,7606.884748,7223.769779
1.83,7631.053984,7213.779066
1.814,7473.233804,7204.642547
1.8244,7560.967926,7196.491301
1.8204,7534.127942,7188.313279
1.8236,7565.705082,7181.846406
1.8196,7518.69164,7175.66113
1.8212,7532.022721,7169.332524
1.8148,7471.960754,7160.926115
1.8152,7460.283503,7152.712213
1.8104,7417.445795,7139.714326
1.8052,7382.359095,7103.917925
1.8112,7446.193552,7030.339389
1.8092,7444.519951,6977.329996
1.806,7422.96012,6952.417762
1.7996,7375.155534,6945.032597
1.804,7401.515089,6946.978806
1.8088,7442.569596,6955.905034
1.798,7366.116843,6961.814759
1.8084,7429.963459,6964.353509
1.804,7396.100084,6969.978765
1.8096,7434.223687,6972.369525
1.8068,7393.263094,6973.180342
1.806,7381.297369,6971.795678
1.8108,7402.531309,6968.574933
1.802,7327.283384,6963.580362
1.8068,7358.537091,6956.904497
1.81,7367.693204,6948.931029
1.8096,7366.77842,6939.832599
1.8092,7353.410794,6930.166529
1.8064,7318.245072,6919.758553
1.806,7320.867357,6909.239192
1.8104,7346.849141,6899.369075
1.81,7355.629377,6889.683551
1.8076,7324.275359,6881.625204
1.808,7320.705945,6873.17267
1.8092,7338.07892,6866.644042
1.8044,7293.642961,6861.291658
1.8128,7366.42459,6855.882874
1.8144,7383.252676,6852.397949
1.8136,7380.835271,6849.878466
1.8128,7385.781985,6848.749062
1.8168,7428.696713,6849.304467
1.8216,7480.991215,6851.092087
1.8184,7461.653316,6854.235848
1.8168,7459.863724,6859.664227
1.8224,7503.916146,6864.00742
1.8208,7508.582287,6871.301094
1.8212,7523.494514,6877.187923
1.8212,7520.696398,6882.118436
1.8228,7545.632139,6886.417834
1.8168,7472.281938,6888.435712
1.8124,7423.330935,6890.098446
1.8176,7461.319248,6891.567195
1.8244,7501.744931,6890.061464
1.8184,7429.333266,6887.561814
1.8228,7476.7559,6884.061405
1.8308,7526.960099,6878.677932
1.834,7546.400171,6872.103924
1.8276,7478.344766,6864.327729
1.8328,7504.732636,6855.687974
1.8268,7459.867686,6846.405771
1.824,7440.882614,6836.912254
1.8256,7428.289059,6827.323324
1.8304,7450.813134,6817.929989
1.8224,7381.86933,6809.173103
1.8184,7340.559642,6801.063811
1.8208,7372.806819,6793.618973
1.8212,7351.135959,6788.456394
1.8168,7314.120821,6783.864771
1.8164,7313.274581,6780.736693
1.8152,7308.056151,6778.87587
1.8136,7302.04095,6775.623883
1.8128,7308.992899,6774.443066
1.8144,7334.030131,6773.737842
1.8156,7349.786796,6775.887014
1.8148,7354.039077,6780.469683
1.8092,7320.844351,6788.101393
1.8104,7336.531653,6795.817886
1.8132,7362.163345,6807.680175
1.812,7361.045753,6819.485535
1.8156,7396.005741,6829.478678
1.8144,7386.81845,6840.99065
1.8132,7377.062247,6853.136006
1.8124,7363.664913,6866.537718
1.8108,7358.475578,6877.076794
1.812,7352.023122,6884.932685
1.8116,7331.637149,6891.2048
1.8096,7324.608553,6895.084671
1.814,7338.589966,6895.907188
1.8148,7333.095652,6894.374504
1.8092,7300.42081,6890.894627
1.8116,7313.14952,6885.514298
1.8124,7295.710211,6878.538463
1.8132,7301.555903,6870.623061
1.8096,7267.789303,6862.018672
1.8128,7283.74877,6853.019598
1.8124,7271.862375,6843.528878
1.8172,7303.827262,6833.803677
1.8144,7288.461081,6823.857462
1.8128,7261.05641,6813.928185
1.8144,7279.940271,6804.671989
1.8152,7289.05882,6794.755178
1.8172,7309.404025,6785.347746
1.8184,7328.997353,6776.520098
1.8224,7378.626329,6769.687057
1.8156,7321.720206,6764.840562
1.818,7350.471581,6760.85017
1.81,7293.303816,6759.257967
1.8148,7342.896987,6760.112327
1.8144,7341.360721,6762.434669
1.8164,7363.463433,6766.720561
1.8172,7385.440369,6772.30992
1.81,7329.324889,6775.249444
1.8136,7359.374047,6780.488196
1.8124,7358.93064,6786.050187
1.8144,7377.474856,6790.591329
1.8184,7401.187563,6792.774552
1.8192,7399.323435,6793.815789
1.8172,7372.637053,6795.043567
1.8204,7395.572625,6796.946091
1.8272,7435.75656,6793.962317
1.8264,7427.740019,6791.009197
1.8252,7412.282909,6786.567661
1.8268,7434.259878,6781.201295
1.826,7415.63634,6774.872961
1.8252,7408.665969,6768.071741
1.8276,7397.395362,6761.082359
1.834,7451.587093,6753.8934
1.83,7406.939203,6746.837608
1.832,7415.661732,6740.490553
1.824,7356.808252,6734.437632
1.828,7378.337633,6730.030687
1.8232,7329.471073,6726.761529
1.8208,7292.829758,6724.943727
1.822,7300.490805,6723.809534
1.8148,7243.819097,6724.907524
1.8108,7219.072189,6727.731736
1.8156,7268.219151,6730.396221
1.8092,7225.31128,6733.420326
1.8196,7317.907923,6737.271975
1.8156,7297.268019,6742.172357
1.8168,7314.479274,6746.32797
1.8164,7320.809578,6752.844289
1.8144,7310.2465,6759.992264
1.8124,7295.947454,6768.845375
1.8116,7295.912509,6780.422091
1.8144,7316.557775,6789.653542
1.8116,7296.94736,6800.27282
1.8124,7305.643494,6810.388087
1.8144,7306.786771,6819.562028
1.812,7290.849364,6828.16863
1.808,7261.010472,6834.688277
1.8108,7269.959698,6838.712552
1.8092,7253.393503,6840.879744
1.8132,7264.679939,6840.831134
1.8104,7250.198864,6839.357897
1.8164,7285.70432,6835.89754
1.814,7267.449496,6831.203357
1.8092,7231.286381,6825.385886
1.8044,7184.701502,6818.773421
1.8112,7221.360821,6811.690848
1.81,7213.769834,6804.10609
1.8136,7227.508579,6796.357839
1.8088,7205.638407,6787.994672
1.8104,7196.986817,6780.852014
1.8104,7205.800466,6773.067796
1.8108,7209.837763,6766.356802
1.812,7222.285139,6759.993872
1.8092,7199.803386,6753.889328
1.8164,7261.463217,6748.769027
1.816,7266.350772,6743.635501
1.8148,7268.150358,6740.156511
1.8184,7305.500771,6738.293216
1.822,7337.604751,6736.821358
1.8252,7370.069051,6735.527132
1.824,7373.651403,6736.633237
1.8248,7388.296081,6738.538929
1.8204,7348.638903,6739.473391
1.8248,7404.855894,6744.659552
1.8268,7422.799128,6746.420204
1.8312,7472.012701,6747.686624
1.8336,7480.798114,6745.590555
1.8376,7509.994884,6743.575796
1.8276,7426.952086,6739.307173
1.8308,7420.932677,6736.281297
1.8332,7441.900589,6732.649986
1.8304,7404.985262,6728.572715
1.8336,7424.45417,6723.714798
1.8328,7399.88966,6718.541407
1.8328,7398.634495,6712.645013
1.8344,7396.873583,6706.552831
1.8328,7376.608818,6700.235935
1.8316,7360.06205,6693.664153
1.8268,7320.147983,6687.093165
1.8304,7337.773988,6681.383883
1.8292,7311.370807,6676.419079
1.8304,7318.442538,6672.233572
1.8232,7258.327027,6669.573894
1.8296,7302.518921,6667.960105
1.8244,7272.317011,6667.470451
1.8276,7285.195473,6669.208664
1.822,7252.662951,6670.965649
1.8168,7217.194757,6674.917238
1.8224,7268.727344,6679.098587
1.8248,7292.181003,6683.485667
1.8224,7281.853949,6689.201574
1.826,7319.653796,6696.710532
1.8192,7271.083509,6704.95149
1.8168,7259.860487,6716.83587
1.8148,7247.642412,6728.312528
1.8168,7273.284166,6740.873397
1.82,7298.953543,6754.356209
1.8124,7238.470191,6766.30701
1.8208,7288.570097,6776.994516
1.81,7213.568685,6787.727506
1.8172,7262.274357,6795.579608
1.8184,7269.699294,6801.267656
1.8172,7258.470253,6804.296756
1.8152,7228.468342,6805.512254
1.8236,7289.799527,6805.144036
1.8104,7182.356,6803.325261
1.8152,7216.791848,6799.799002
1.8144,7198.78797,6795.005206
1.8172,7218.399541,6789.344712
1.814,7192.043552,6782.640435
1.8164,7209.646862,6775.227876
1.8128,7175.272382,6767.228921
1.8132,7172.933342,6758.580147
1.8132,7163.863095,6749.585366
1.8124,7164.115724,6740.908064
1.822,7235.26775,6731.622324
1.8188,7205.639712,6723.000696
1.8172,7203.905626,6714.149751
1.8172,7203.027067,6706.315902
1.826,7284.824796,6699.930431
1.8204,7238.111041,6695.869312
1.8256,7287.610715,6692.553509
1.8232,7275.754881,6688.207846
1.8224,7273.445471,6686.541281
1.8272,7322.182607,6685.4456
1.8212,7276.42598,6685.061927
1.8248,7313.552634,6686.91101
1.8224,7293.609874,6689.045827
1.8284,7350.37248,6692.304348
1.8252,7331.918092,6695.252713
1.8268,7339.606516,6697.09974
1.8284,7362.479463,6698.044909
1.8264,7353.748709,6695.570492
1.8264,7343.276842,6694.023723
1.8332,7387.400557,6692.851327
1.8316,7368.332816,6689.927848
1.828,7331.443105,6687.219882
1.8332,7368.36185,6684.00107
1.8308,7325.218573,6679.775045
1.8308,7313.526383,6674.847416
1.8316,7329.087261,6669.383838
1.8344,7350.741723,6663.575672
1.8344,7335.141502,6657.482017
1.8332,7319.560871,6651.569572
1.8276,7264.837709,6645.934773
1.8276,7258.319179,6641.22554
1.824,7230.791601,6638.189306
1.8192,7168.93786,6636.633594
1.8284,7246.61538,6635.19286
1.8208,7180.615587,6636.785831
1.8252,7216.65006,6638.976546
1.8224,7198.604928,6642.81547
1.828,7253.03875,6648.022866
1.824,7229.124053,6653.360548
1.8228,7223.363087,6658.672266
1.8188,7205.795077,6662.670099
1.818,7204.564717,6669.13695
1.82,7226.190137,6676.507555
1.8208,7236.334553,6683.766984
1.824,7266.038183,6693.341673
1.8176,7222.234898,6703.324794
1.8128,7223.032642,6694.50968
1.8064,7133.597793,6688.838488
1.8148,7190.479611,6697.113093
1.8128,7185.018591,6708.541003
1.8132,7186.22915,6714.771041
1.8096,7152.284737,6719.840685
1.812,7172.42716,6723.759685
1.812,7155.883387,6725.763323
1.8088,7130.967629,6726.673953
1.8104,7136.654026,6725.863732
1.812,7148.989982,6723.775226
1.8128,7144.760044,6720.245045
1.8136,7143.529092,6715.670687
1.8132,7132.927266,6710.168472
1.8116,7126.992405,6703.941819
1.8136,7135.669873,6697.4033
1.8088,7093.504578,6690.33897
1.8116,7104.920101,6683.280894
1.8124,7109.188809,6675.887823
1.8164,7139.960652,6668.42294
1.8076,7075.07764,6661.148096
1.81,7096.370586,6654.855477
1.816,7138.42164,6648.708672
1.8196,7175.18571,6643.031688
1.818,7170.262082,6638.201717
1.8156,7156.810227,6634.655604
1.82,7202.242656,6631.659492
1.816,7177.866054,6629.511611
1.8152,7172.311125,6627.657878
1.8204,7221.01994,6626.673176
1.8244,7255.386264,6625.775443
1.8236,7250.942009,6626.90541
1.8296,7304.907745,6628.829394
1.8264,7279.996218,6629.885
1.8208,7241.489779,6630.251215
1.8236,7273.250626,6628.927385
1.8272,7286.025,6627.260799
1.8236,7276.00536,6625.484969
1.8304,7317.014303,6621.814571
1.8284,7301.54138,6618.218011
1.832,7315.621218,6614.385617
1.83,7287.254146,6610.503392
1.8356,7339.195944,6606.189847
1.8364,7335.409736,6601.178728
1.8344,7307.793912,6595.789466
1.8308,7266.835753,6590.330057
1.836,7303.710464,6585.107335
1.8364,7302.815195,6580.175657
1.8304,7260.270399,6575.615421
1.8308,7240.435553,6572.025284
1.8272,7220.538694,6569.044835
1.8288,7225.744335,6568.255921
1.8268,7203.685771,6568.65759
1.8236,7170.308723,6570.775577
1.8296,7221.371544,6573.498051
1.8268,7203.931937,6577.579012
1.8324,7250.044863,6583.853699
1.826,7204.955488,6590.380565
1.8224,7187.311955,6598.684522
1.8256,7220.737198,6607.683214
