Total Volume, Total Energy, Total Energy (Particle) 
1.8484,11772.050541,11354.148842
1.8712,11962.080894,11313.67995
1.8744,11961.494564,11249.159145
1.874,11872.371552,11171.380269
1.8736,11810.20832,11081.369425
1.878,11703.269539,10980.47278
1.8728,11552.317652,10869.524238
1.8744,11451.884237,10750.603716
1.8768,11340.642102,10624.675538
1.8724,11177.525381,10493.866017
1.8756,11097.523453,10360.241809
1.8752,10946.631365,10225.561782
1.874,10782.37306,10090.639289
1.8744,10676.460181,9957.01074
1.8788,10568.044661,9827.670616
1.864,10341.762622,9689.613245
1.8596,10193.624403,9540.164478
1.8596,10132.459652,9404.109851
1.8648,10065.946902,9290.699476
1.86,9910.920913,9191.905921
1.8644,9867.713315,9114.878826
1.8576,9742.73685,9066.465958
1.8628,9790.902914,9040.609448
1.8616,9746.352395,9040.303447
1.8668,9788.747109,9062.531712
1.8612,9781.209667,9104.516232
1.8668,9870.563169,9158.742792
1.8604,9831.033264,9229.553869
1.8668,9951.626285,9310.648064
1.8636,9978.604762,9399.398174
1.8648,10044.193024,9491.503325
1.866,10148.227925,9585.98261
1.8648,10216.477257,9682.007152
1.8676,10312.020633,9776.668692
1.8656,10394.725998,9868.790323
1.8712,10559.249234,9955.729705
1.8748,10675.411325,10036.810381
1.8812,10822.66247,10111.643459
1.868,10754.955426,10178.774849
1.8788,10923.829213,10236.885929
1.8772,10964.077579,10285.868438
1.8792,11051.16717,10324.608778
1.8812,11089.215846,10353.119533
1.876,11087.717853,10370.656716
1.8824,11148.625992,10377.064725
1.8848,11220.170492,10372.686638
1.8812,11198.529421,10356.895689
1.8896,11257.888158,10330.000507
1.8856,11179.165652,10292.179257
1.8884,11207.704713,10243.982073
1.8912,11220.777007,10185.599208
1.8952,11189.335661,10117.895481
1.8936,11063.675139,10041.752696
1.8928,10992.593159,9958.03624
1.8952,10904.757665,9868.20404
1.9012,10876.731849,9774.081803
1.912,10926.9132,9676.168856
1.9092,10740.060837,9577.67114
1.9124,10670.453753,9479.391103
1.9056,10472.312909,9384.658609
1.9084,10413.369992,9288.952822
1.9132,10350.202145,9198.428947
1.9116,10161.685945,9113.186827
1.9024,9965.43127,9043.617998
1.9056,9950.582434,8976.199934
1.9076,9874.180366,8925.501197
1.9048,9800.949963,8885.875568
1.9012,9759.767303,8863.919885
1.9124,9862.587792,8854.14679
1.9092,9842.899367,8857.335038
1.908,9851.678481,8863.355626
1.9072,9909.208876,8875.569276
1.9004,9875.193138,8889.052621
1.8832,9703.890724,8789.485162
1.8804,10147.160265,8717.131683
1.8864,9591.147595,8746.687659
1.884,9566.04952,8802.31022
1.88,9573.360392,8885.78899
1.8804,9571.684158,8969.713708
1.8752,9518.007745,9058.019767
1.88,9605.060255,9144.359417
1.88,9701.115076,9228.705772
1.8848,9841.004576,9310.514319
1.8828,9840.414794,9384.165253
1.8848,9828.539681,9429.809441
1.8824,9890.913289,9485.763565
1.8848,9967.308877,9533.350354
1.89,10041.379541,9571.730217
1.894,10140.485005,9599.644487
1.8836,10038.527339,9617.30414
1.8872,10065.847376,9624.374003
1.8912,10138.271637,9620.948937
1.892,10166.012186,9607.204414
1.8904,10125.947779,9583.424791
1.8868,10029.066317,9550.018618
1.89,10070.025903,9507.369325
1.8952,10058.94538,9456.099933
1.894,10044.912999,9396.765771
1.8836,9833.853329,9330.075975
1.8908,9885.374,9256.798799
1.8864,9783.579569,9177.871587
1.8876,9681.879458,9094.493496
1.8828,9594.804908,9006.932718
1.8832,9472.284088,8917.981084
1.8808,9370.575627,8826.873648
1.8812,9294.270086,8736.727569
1.8808,9215.542532,8647.543621
1.884,9174.480102,8561.870145
1.8824,9091.528354,8481.620402
1.87,8846.757057,8407.50087
1.8704,8800.39471,8338.551486
1.864,8705.339845,8279.909031
1.8644,8653.359646,8236.559671
1.866,8642.714201,8205.036662
1.8588,8553.639205,8187.49086
1.8644,8617.065606,8180.711099
1.8612,8618.371552,8171.417001
1.8688,8721.024602,8166.322373
1.856,8644.801847,8183.897185
1.8576,8716.236891,8216.186775
1.8648,8862.344679,8249.170227
1.866,8925.1061,8283.572124
1.8688,8989.124017,8327.552338
1.8732,9087.163015,8374.067791
1.8704,9120.180933,8409.525781
1.8696,9199.267454,8453.167529
1.8752,9333.669542,8499.999303
1.8784,9414.435148,8546.126563
1.8744,9457.288945,8591.064466
1.8772,9515.933065,8634.315853
1.876,9572.076317,8673.8329
1.8764,9617.437663,8710.85727
1.8784,9686.577876,8738.00371
1.882,9737.499776,8758.186261
1.8768,9714.155738,8769.903395
1.8776,9771.584738,8772.765089
1.8808,9785.868735,8767.171479
1.8844,9808.310018,8752.880845
1.8844,9800.764344,8729.75433
1.8808,9752.472445,8698.339828
1.886,9764.262629,8658.895877
1.8872,9713.012965,8612.179791
1.8852,9654.707691,8558.941783
1.8844,9588.651611,8500.333307
1.8868,9518.516542,8436.464537
1.8876,9443.479944,8371.869392
1.8836,9320.60802,8305.263048
1.8844,9260.435253,8239.09073
1.8896,9249.100815,8172.54399
1.8872,9175.388577,8109.551114
1.8872,9068.715409,8054.686111
