Total Volume, Total Energy, Total Energy (Particle) 
1.8484,11772.050541,11354.148842
1.8712,11962.080894,11313.269424
1.8712,11917.349813,11254.342784
1.8704,11845.843957,11183.872401
1.8688,11754.771348,11102.876335
1.8732,11711.741024,11012.997126
1.8652,11568.345339,10914.90907
1.8744,11503.826759,10811.294403
1.8712,11356.923696,10702.033529
1.8736,11287.751685,10589.851475
1.8748,11182.577508,10476.712232
1.872,11049.091234,10363.584936
1.8708,10930.465326,10252.402679
1.8748,10876.721607,10144.440171
1.8708,10748.827784,10030.510113
1.8604,10565.029913,9887.27587
1.864,10535.313737,9762.303156
1.86,10417.551224,9661.537872
1.8568,10307.118493,9576.513012
1.854,10181.389491,9509.020112
1.8496,10069.675289,9470.019761
1.8428,9957.00505,9452.004906
1.844,9885.531413,9455.93301
1.842,9850.169387,9483.751756
1.8332,9767.312161,9521.949919
1.8276,9706.101048,9578.886018
1.8316,9729.480176,9641.720856
1.8368,9799.670576,9717.650613
1.8276,9786.839786,9794.165697
1.8352,9885.808034,9869.616081
1.8412,10021.36857,9946.444136
1.8424,10080.113002,10022.032968
1.8404,10136.706525,10094.15825
1.844,10210.49635,10161.089219
1.842,10295.145676,10222.410914
1.8468,10354.532775,10276.002615
1.8484,10428.550265,10321.968377
1.8468,10501.46851,10359.637056
1.848,10506.221447,10388.126018
1.85,10525.141481,10407.066858
1.852,10599.583289,10416.09365
1.8548,10669.683337,10415.066059
1.86,10718.831546,10403.548342
1.8536,10655.719051,10381.883704
1.8556,10617.181636,10350.53557
1.8552,10648.044965,10309.165011
1.858,10593.41204,10258.481832
1.8604,10585.520383,10199.377299
1.864,10539.27037,10132.489494
1.866,10523.783422,10058.585617
1.8608,10371.596326,9978.903458
1.8648,10361.49622,9894.766098
1.8656,10268.717964,9806.241891
1.8664,10190.980892,9717.177354
1.8708,10131.820175,9627.385966
1.872,10051.957671,9534.661136
1.8708,9966.506626,9449.368036
1.864,9813.30934,9363.386578
1.8656,9727.414725,9285.539513
1.8696,9751.285373,9221.402629
1.8644,9665.267773,9177.563096
1.8696,9693.576613,9138.875104
1.8684,9693.433148,9090.864368
1.8692,9738.714775,9050.651455
1.8724,9760.142685,9021.715801
1.8696,9733.957226,9002.500448
1.868,9762.788185,8988.888917
1.8652,9801.622115,8976.130087
1.8564,9824.389641,8907.65811
1.856,9931.760868,8581.743311
1.8552,9280.36115,8559.619471
1.8552,9275.971142,8599.796717
1.8532,9264.10327,8651.667188
1.8504,9280.610182,8709.097788
1.8568,9352.632089,8767.802565
1.8588,9386.520586,8823.718299
1.8588,9418.730311,8874.602804
1.8584,9453.520938,8919.830833
1.8604,9530.553544,8958.693882
1.8652,9576.826099,8991.212141
1.8656,9581.541752,9015.677496
1.864,9614.365112,9030.874485
1.8628,9582.473119,9038.078652
1.8648,9570.309172,9037.419305
1.8684,9661.678029,9029.107914
1.866,9620.048635,9012.88231
1.8724,9659.014018,8989.427044
1.8704,9571.735063,8959.29952
1.8712,9583.316486,8923.242494
1.872,9555.175967,8881.680347
1.874,9524.168664,8835.191585
1.8724,9479.511402,8784.302688
1.8724,9420.49266,8729.654941
1.8696,9342.415991,8672.033216
1.866,9253.840809,8611.956591
1.8688,9240.988074,8551.736933
1.8732,9271.103351,8491.262502
1.8708,9198.03738,8430.615537
1.87,9133.670394,8372.667945
1.874,9143.660567,8317.585812
1.8692,9053.795489,8266.323911
1.866,8959.343177,8221.841543
1.8644,8905.718378,8183.901633
1.854,8774.87238,8154.885836
1.8592,8821.901707,8134.319582
1.8564,8766.380486,8134.1872
1.8524,8712.262693,8139.998761
1.8536,8754.792482,8151.895667
1.8556,8835.647972,8173.465021
1.8556,8838.375919,8202.014602
1.8548,8848.087352,8231.832685
1.8628,8950.868507,8263.604179
1.856,8864.769169,8297.180405
1.854,8867.828244,8324.722784
1.8608,8953.655916,8364.218048
1.8592,8983.21426,8396.723866
1.8596,8971.773712,8428.743425
1.8552,8969.165335,8448.085517
1.8608,9029.055384,8470.661169
1.8576,9010.474056,8476.375279
1.8592,9038.749199,8480.66584
1.8668,9129.656369,8496.009572
1.8656,9114.789505,8503.934092
1.8672,9099.31732,8506.455634
1.8744,9168.964568,8501.373465
1.8712,9184.803181,8489.633448
1.8744,9173.286879,8471.058065
1.874,9153.873009,8445.978573
1.8744,9161.449634,8414.755944
1.8836,9200.650805,8378.119133
1.882,9148.702099,8335.421357
1.882,9100.627714,8288.44674
1.884,9104.319873,8235.960619
1.8788,8981.397542,8180.975433
1.8796,8938.389875,8124.942315
1.8848,8944.238194,8070.2429
1.8792,8849.414474,8010.481595
1.878,8777.735083,7955.423812
1.8768,8736.813721,7907.38205
1.8768,8661.056077,7863.205917
1.876,8631.403547,7822.750486
1.874,8565.760349,7788.39776
1.8748,8551.173719,7758.26788
1.872,8505.072598,7733.816152
1.8728,8462.612939,7715.811062
1.8668,8405.20006,7700.094079
1.8672,8412.540498,7692.999573
1.8692,8447.75597,7681.363015
1.8652,8433.683271,7674.863988
1.8668,8488.251751,7683.077578
1.8628,8421.532663,7709.452111
1.866,8456.886034,7740.018183
1.8712,8525.548689,7776.516539
1.8764,8577.198361,7814.191861
1.8768,8594.23396,7849.356593
1.8756,8602.905402,7881.266007
1.8712,8530.630863,7909.000289
1.8704,8524.434321,7935.094725
1.8736,8603.591298,7961.705638
1.8736,8630.886704,7983.66101
1.876,8655.185878,8001.290917
1.8768,8683.071421,8013.688529
1.8728,8664.295953,8021.025118
1.8788,8728.804506,8022.96228
1.8784,8708.639686,8019.82137
1.8752,8690.525266,8010.925363
1.8732,8665.013709,7996.807437
1.8776,8697.798379,7977.891483
1.874,8638.47763,7953.953037
1.8768,8621.948042,7926.095527
1.878,8610.550892,7894.668649
1.8772,8601.492044,7859.966581
1.8788,8554.054082,7823.424077
1.8752,8485.496037,7786.114541
1.8752,8437.554348,7748.570757
1.8692,8338.613263,7711.394917
1.8676,8273.829372,7675.544318
1.8696,8264.66115,7641.516956
1.8688,8217.61602,7610.910737
1.8692,8197.161776,7582.800899
1.862,8111.909855,7556.171497
1.8652,8133.278993,7532.773167
1.858,8072.896645,7511.927758
1.8576,8083.48268,7478.50981
1.858,8072.581056,7463.323739
1.8616,8091.925657,7453.608598
1.8612,8098.640398,7447.960747
1.8576,8076.180986,7447.139952
1.8556,8069.816554,7450.509721
1.8504,8053.438437,7462.43491
1.8476,8056.137009,7465.837132
1.8464,8075.919674,7498.536387
1.8444,8094.43642,7537.764479
1.8416,8106.545958,7591.221325
1.8492,8177.894008,7634.234886
1.8508,8197.983679,7670.645945
1.852,8202.934637,7706.275233
1.8544,8266.62695,7739.529848
1.8492,8223.938742,7771.335262
1.8488,8249.206916,7798.15217
1.86,8443.199555,7827.439992
1.8576,8344.544199,7838.319962
1.8648,8596.796874,7861.102055
1.8624,8550.922311,7856.157785
1.8664,8625.432025,7861.004169
1.8708,8667.831197,7860.525436
1.8684,8658.285145,7855.475721
1.8684,8663.846786,7845.516222
1.8716,8728.982662,7831.651986
1.8724,8706.609593,7812.208599
1.878,8774.417556,7790.499242
1.8744,8701.451388,7765.590039
1.8768,8693.642065,7738.682356
1.874,8619.552986,7709.209075
1.8764,8622.277648,7678.577461
1.8748,8582.80262,7647.538239
1.8712,8506.798031,7616.099461
1.8784,8581.254809,7585.908216
1.8752,8457.108388,7557.551703
1.8784,8444.13738,7532.175572
1.88,8477.598649,7509.342518
1.88,8447.093352,7490.876457
1.8804,8418.948711,7477.355287
1.8868,8422.932813,7467.534859
1.882,8402.330748,7462.625196
1.8824,8399.952967,7463.73002
1.896,8521.906946,7475.908673
1.8872,8409.939409,7489.292542
1.892,8511.713336,7507.672957
1.8912,8503.08216,7531.835704
1.8988,8579.676978,7561.393896
1.896,8541.724606,7597.247437
1.9012,8607.452253,7636.310172
1.9072,8642.940276,7694.238119
1.9,8555.626947,7743.200446
1.898,8490.007433,7782.891929
1.9056,8527.838743,7823.579059
1.9024,8655.699604,7828.127849
1.9032,8634.614274,7850.838899
1.9084,8663.693324,7853.512446
1.914,8711.938387,7869.156753
1.918,8765.184161,7887.925386
1.9144,8738.209522,7898.893423
1.9212,8803.649221,7901.895721
1.922,8778.562131,7900.643939
1.914,8699.035811,7892.593234
1.9232,8798.608453,7878.350196
1.9152,8730.127769,7855.469668
1.9188,8762.085165,7824.463088
1.9108,8688.445211,7795.3108
1.9064,8602.935211,7745.769058
1.9108,8606.918665,7709.039082
1.9112,8557.898545,7675.393636
1.8984,8432.397494,7642.72026
1.8984,8415.771046,7610.37333
1.9064,8427.75168,7577.107518
1.8992,8318.388017,7543.46605
1.902,8348.109518,7502.094325
1.9064,8325.581128,7465.299134
1.9012,8251.99994,7432.589307
1.9004,8203.362391,7402.268901
1.9036,8215.054445,7371.88715
1.9012,8176.558695,7344.380481
1.898,8135.082534,7317.98912
1.9016,8155.146924,7293.671583
1.8992,8131.744614,7270.028381
1.8948,8091.720359,7249.421526
1.902,8150.490429,7235.565639
1.9004,8136.270829,7230.873358
1.9056,8179.827752,7231.948533
1.8996,8133.101301,7241.622636
1.8976,8140.555548,7255.56941
1.8996,8167.177154,7273.961075
1.9028,8215.296235,7295.99479
1.9088,8291.77879,7320.738997
1.908,8309.737399,7346.91148
1.916,8391.86612,7374.183007
1.904,8311.188952,7400.62027
1.9208,8489.120321,7425.407807
