Total Volume, Total Energy, Total Energy (Particle) 
1.8484,11772.050541,11354.148842
1.8712,11962.080894,11318.046771
1.8692,11915.091985,11275.699933
1.872,11897.359491,11228.733196
1.8744,11851.530311,11177.933552
1.872,11768.977694,11123.593769
1.8732,11695.242951,11067.528648
1.8772,11710.901094,11010.077312
1.868,11565.911988,10953.674431
1.8748,11585.381961,10898.668278
1.8688,11479.70159,10845.602687
1.874,11498.702306,10796.234984
1.8688,11440.049071,10750.590547
1.8644,11385.246837,10680.110305
1.8592,11310.506803,10602.628364
1.8504,11293.31887,10549.734185
1.8548,11273.830974,10468.015316
1.8492,11039.924857,10360.747223
1.8432,10847.06961,10287.123247
1.8388,10736.340767,10263.708193
1.8416,10746.136282,10240.508151
1.8468,10743.496022,10235.839672
1.8436,10647.447402,10232.171846
1.8404,10569.279699,10233.394723
1.842,10589.687997,10246.428556
1.8344,10478.655816,10264.413688
1.8372,10508.343894,10285.348514
1.8304,10402.981374,10310.182348
1.8316,10387.235507,10334.63978
1.8372,10465.261742,10356.921659
1.8372,10480.908648,10374.782651
1.844,10588.26203,10388.600552
1.846,10581.756614,10396.24513
1.8456,10603.128621,10398.607619
1.85,10593.0862,10396.128365
1.8544,10677.647142,10389.041814
1.852,10667.748735,10376.179551
1.8564,10670.917891,10357.512812
1.8524,10665.443316,10333.690717
1.8572,10631.436737,10305.26691
1.8532,10590.95615,10271.896411
1.8608,10648.312021,10233.622523
1.8628,10615.690462,10192.964356
1.8648,10598.020492,10146.745247
1.8696,10675.984799,10098.414219
1.87,10588.132019,10049.040468
1.8784,10643.354785,9998.721168
1.8828,10661.671483,9951.172966
1.8856,10679.067487,9903.401027
1.8752,10420.335273,9851.034659
1.8672,10226.647056,9811.666284
1.856,10031.269036,9740.196786
1.852,9915.510307,9575.924093
1.8596,10006.726292,9519.465839
1.8556,9977.77154,9486.597206
1.8592,10034.233377,9458.814176
1.8624,10092.337014,9424.969384
1.8524,10011.165909,9397.381913
1.8484,10023.414748,9369.574875
1.8308,9977.727579,9330.786482
1.8116,9690.521609,9171.240631
1.802,9393.957964,9041.720585
1.8048,9291.849241,9064.51134
1.7948,9069.094118,9096.068529
1.7964,8983.156104,9120.572806
1.7996,9014.60721,9145.361321
1.8016,8980.866648,9172.136727
1.8032,8979.675478,9193.892933
1.8088,9061.905099,9209.70038
1.8104,9044.150894,9222.11425
1.812,8934.730428,9225.277318
1.8108,8953.230369,9150.754374
1.8184,8956.917516,9106.319377
1.8212,9003.102612,9093.49708
1.8224,8987.166677,9080.055623
1.8232,8974.525606,9061.611348
1.8168,8847.157997,9040.798029
1.8212,8895.208843,9017.097662
1.824,8899.663113,8991.855048
1.8228,8865.431569,8964.43659
1.822,8817.699659,8935.959661
1.8196,8742.953022,8906.328713
1.832,8867.696131,8876.696183
1.8204,8775.271849,8849.185878
1.8204,8712.900036,8820.627919
1.8152,8621.37686,8794.338282
1.816,8658.511842,8771.097936
1.8192,8654.723056,8750.045655
1.8124,8547.200104,8728.380432
1.8048,8415.032355,8704.086296
1.8032,8383.391852,8686.494653
1.7956,8215.741505,8666.013889
1.7964,8310.518872,8610.66537
1.7912,8271.970503,8550.589587
1.7896,8286.618608,8517.900993
1.7868,8300.475148,8525.521622
1.7888,8307.76312,8523.200883
1.7844,8261.360281,8520.913353
1.7932,8370.606663,8503.927124
1.7848,8276.318315,8512.719599
1.7908,8377.114832,8492.912333
1.7876,8215.358227,8459.223597
1.798,8441.876532,8396.221992
1.8004,8339.264089,8391.26513
1.8068,8433.566688,8294.73155
1.8012,8368.810018,8268.437827
1.8068,8402.019891,8239.195986
1.8108,8432.353962,8223.919802
1.8088,8401.914062,8206.710933
1.808,8416.726751,8185.398252
1.814,8425.011703,8170.384787
1.814,8463.687596,8138.131887
1.8152,8458.620775,8088.27112
1.8184,8459.793591,8037.507832
1.8188,8469.237146,8006.197683
1.8156,8379.020621,7976.155478
1.8096,8276.456535,7947.496077
1.8212,8313.342074,7919.048992
1.8136,8222.266403,7883.043971
1.8052,8127.903711,7855.210049
1.8144,8165.811886,7820.90871
1.8116,8168.109756,7793.717113
1.8128,8147.440267,7778.318634
1.8088,8120.099369,7767.816952
1.8104,8159.800346,7759.798151
1.8088,8149.905234,7765.042986
1.7972,8032.416722,7771.931753
1.794,8012.305394,7760.233017
1.7968,8025.595768,7759.963336
1.7852,7916.128371,7760.848039
1.7968,8043.752868,7766.773238
1.7932,8012.880865,7772.969578
1.794,8054.887252,7788.689774
1.784,7967.892996,7812.501867
1.7784,7885.081828,7849.413901
1.7812,7887.149673,7898.364516
1.7792,7850.393513,7953.265475
1.7876,7912.736826,7983.460654
1.7844,7822.706087,7996.566652
1.7904,7874.216637,8004.44625
1.7936,7930.697098,8009.070094
1.79,7898.2867,8010.402905
1.7944,7993.463819,8008.244278
1.8032,8078.241283,8001.94604
1.808,8121.766225,7992.280228
1.806,8121.718665,7979.2901
1.816,8218.679705,7963.767285
1.8148,8223.424356,7944.583059
1.8196,8270.507889,7923.957946
1.8172,8244.157005,7901.865022
1.8148,8226.079676,7878.324493
1.8168,8247.280128,7853.99555
1.8108,8179.732678,7829.445745
1.8248,8307.894207,7805.117213
1.82,8230.798915,7781.019523
1.8184,8213.270277,7756.350847
1.8232,8253.490656,7732.162421
1.8184,8192.94278,7706.641934
1.8176,8186.727938,7682.382832
1.816,8146.517026,7658.074628
1.81,8072.814997,7633.136764
1.8108,8077.412474,7609.19635
1.8092,8070.842583,7590.809213
1.8048,8020.936688,7575.580706
1.8032,8030.766301,7565.593563
1.8012,7989.20492,7563.924362
1.7936,7911.440775,7565.89748
1.796,7932.275681,7570.965964
1.79,7873.987319,7581.417157
1.7876,7795.833249,7608.215797
1.784,7693.506611,7620.977873
1.778,7639.84949,7617.451148
1.782,7575.208363,7551.854842
1.7868,7588.857155,7519.471347
1.78,7525.254643,7503.605004
1.7852,7582.404042,7492.946427
1.786,7543.564847,7480.635275
1.7816,7498.526357,7480.742885
1.7848,7510.507706,7475.208266
1.7856,7519.193916,7471.592774
1.7864,7525.195939,7465.193279
1.7836,7492.546657,7456.849705
1.7876,7514.624262,7446.450739
1.786,7493.113986,7434.15458
1.786,7482.267057,7419.982752
1.7924,7529.515169,7404.330264
1.7864,7467.06108,7387.770767
1.7928,7505.064675,7371.075249
1.7904,7461.070491,7355.280566
1.7948,7495.164189,7339.928023
1.7916,7442.986646,7326.634907
1.7868,7359.012758,7314.279702
1.7924,7408.720902,7302.344322
1.7952,7420.023225,7293.220714
1.7964,7430.81518,7284.336114
1.79,7394.749291,7275.908237
1.7932,7427.372359,7271.633358
1.7988,7489.658124,7270.103916
1.7856,7386.206859,7268.162398
1.7912,7451.376283,7145.071735
1.7944,7488.858576,7136.819089
1.7928,7483.032006,7128.564693
1.7952,7511.844473,7137.924882
1.7996,7551.209576,7149.505572
1.8,7571.15526,7158.592482
