Total Volume, Total Energy, Total Energy (Particle) 
1.8484,11772.050541,11354.148842
1.8712,11962.080894,11315.956608
1.8756,11937.123163,11247.638796
1.8656,11785.336046,11165.457102
1.8724,11769.534762,11070.441638
1.8696,11635.768785,10963.408721
1.8708,11495.957322,10845.833958
1.872,11405.426465,10718.55505
1.8724,11269.639008,10583.425448
1.874,11138.171941,10442.025437
1.8736,10999.932117,10295.486268
1.8724,10842.548769,10146.092948
1.8736,10700.681526,9995.221713
1.878,10570.52362,9844.209297
1.8764,10401.691511,9693.859869
1.8684,10180.439661,9545.456036
1.8724,10100.813946,9396.569057
1.868,9918.717654,9238.15705
1.8676,9806.705755,9089.039034
1.8592,9582.612657,8962.139681
1.8592,9472.652062,8867.16848
1.854,9347.341749,8792.973273
1.8544,9306.819673,8741.785843
1.8604,9351.560916,8711.159056
1.8568,9272.775086,8700.621
1.858,9272.747534,8713.035057
1.8608,9313.446857,8744.165722
1.856,9279.327684,8793.805679
1.8592,9366.446917,8861.130272
1.8592,9420.181296,8942.088189
1.8624,9513.620023,9033.967687
1.8644,9626.806869,9133.898222
1.8708,9797.383785,9238.979258
1.8636,9831.062406,9349.401798
1.8684,9974.631079,9460.93982
1.872,10130.014364,9573.098736
1.8744,10263.726636,9683.791773
1.8732,10370.717535,9791.403658
1.878,10523.686252,9894.992221
1.8772,10593.51367,9992.444863
1.8736,10642.275405,10082.532672
1.878,10865.414794,10159.218497
1.8812,10896.991295,10231.08777
1.8852,11045.04862,10294.433199
1.8776,11070.134703,10348.128115
1.8816,11081.648562,10393.257551
1.8796,11122.100299,10427.744767
1.8828,11181.131666,10451.364405
1.8792,11145.534205,10466.371196
1.8848,11205.775327,10466.764476
1.8832,11199.828779,10457.978066
1.886,11238.154629,10437.520147
1.8848,11167.651795,10406.518669
1.8832,11139.142076,10364.536131
1.8836,11130.899976,10312.096639
1.8896,11127.746168,10249.438775
1.884,10953.559869,10177.459658
1.892,10998.373827,10096.748465
1.888,10867.49749,10008.530378
1.89,10821.377299,9913.453378
1.898,10813.768898,9812.867369
1.892,10624.969864,9708.761297
1.9012,10625.171185,9602.570518
1.9056,10558.643851,9495.14494
1.9032,10433.577475,9389.074688
1.9104,10419.921288,9285.248423
1.9092,10293.024956,9186.345288
1.9068,10121.59792,9093.52044
1.922,10230.819258,9008.201637
1.9232,10152.674692,8930.116141
1.9156,10024.020338,8864.173145
1.9296,10130.936587,8811.2207
1.9184,9863.065592,8764.010067
1.9452,10447.709797,8756.83393
1.9536,10417.401227,8714.322786
1.9604,10463.983933,8693.352929
1.9624,10453.591705,8681.156119
1.9628,10391.495032,8680.427875
1.9628,10335.064317,8694.302396
1.9512,10273.03673,8726.732091
1.922,9980.50234,8732.712336
1.912,9817.318818,8605.312953
1.9136,9754.791804,8650.789592
1.9124,9731.766155,8724.68524
1.9168,9828.771233,8822.377201
1.9304,10070.012967,8925.236372
1.9344,10149.718234,9027.221228
1.9236,10060.873411,9128.644431
1.9376,10324.255214,9224.697627
1.9508,10499.269357,9316.109501
1.944,10432.323186,9408.881612
1.9544,10508.1489,9498.771672
1.9328,10426.929965,9559.705046
1.9372,10422.080465,9605.360524
1.9448,10542.296044,9662.886828
1.9596,10724.648791,9713.251481
1.9636,10794.115137,9754.956845
1.9628,10781.181222,9783.644557
1.9628,10812.037954,9805.877219
1.9832,11034.41623,9820.589454
1.9812,11033.859311,9824.445508
1.9672,10919.655395,9816.070322
1.972,10915.409063,9796.416671
1.9732,10938.036399,9765.520257
1.9768,10970.471598,9731.036968
1.9736,10842.402451,9682.78274
1.9752,10805.324199,9626.742798
1.9788,10842.025903,9562.635619
1.9824,10795.113154,9490.326934
1.976,10684.202839,9410.72058
1.976,10592.628561,9324.513848
1.9784,10530.230451,9232.79756
1.9748,10404.014711,9136.394314
1.9836,10415.161031,9036.798766
1.9756,10280.825103,8934.150662
1.982,10212.280522,8831.629531
1.9764,10081.501272,8728.686902
1.9756,9997.456169,8627.063411
1.9748,9874.078099,8528.661072
1.9768,9810.544389,8433.628508
1.9784,9774.48711,8347.146636
1.9748,9634.349895,8266.188312
1.9764,9615.601258,8193.29927
1.968,9467.540461,8129.925065
1.9724,9465.924216,8070.371672
1.9712,9438.805692,8011.99476
1.9692,9387.335415,7981.218199
1.9656,9338.807281,7959.260729
1.9632,9237.678931,7948.613737
1.9604,9197.235311,7948.832723
1.9556,9216.926169,7935.646085
1.9572,9303.940938,7953.371695
1.9572,9362.62976,7991.29536
1.9612,9492.366671,8046.209507
1.9592,9536.787391,8091.579295
1.9584,9596.645259,8141.932864
1.9632,9704.990688,8197.380163
1.9608,9765.534351,8254.30688
1.962,9864.526146,8310.273984
1.9688,9988.407597,8366.014403
1.9636,10011.470936,8420.827109
1.9648,10063.298639,8473.216657
1.9628,10115.554172,8518.009682
1.9644,10184.82685,8554.010386
1.9684,10266.70128,8576.692355
1.9696,10299.443094,8605.542998
1.9708,10349.401292,8627.768719
1.9712,10412.957451,8642.997766
1.9704,10436.840299,8657.546904
1.9684,10403.525698,8661.294644
1.9636,10388.766819,8657.437176
1.9728,10474.91223,8645.307477
1.9728,10459.007455,8625.584632
1.9748,10410.660046,8598.100636
1.9808,10446.731612,8563.289769
1.9796,10387.104459,8520.953327
1.98,10330.431461,8472.247083
1.9832,10313.982057,8417.923881
1.9792,10199.800567,8358.982822
1.9832,10147.194233,8296.589682
1.98,10033.832087,8231.814855
1.9808,9946.491821,8165.928176
1.9828,9874.230645,8099.446117
1.978,9772.541905,8027.149714
1.9776,9680.041766,7964.151984
1.978,9603.837023,7903.742189
1.974,9469.186194,7847.82283
1.9716,9383.340454,7795.75034
1.9728,9314.989493,7749.755511
1.9716,9260.604765,7709.139988
1.9736,9216.646634,7678.386549
1.9732,9193.029752,7652.488027
1.968,9079.611185,7636.693423
1.968,9089.324599,7624.845763
1.9624,9017.52277,7623.997534
1.9588,8970.162712,7637.518992
1.9548,8939.796634,7662.031115
1.9408,8802.082318,7697.8555
1.9552,8968.655484,7757.995244
1.9464,8889.514412,7829.910526
1.9508,8941.781651,7902.058982
1.9504,8974.373582,7974.925157
1.954,9041.505309,8047.32559
1.9504,9082.256673,8120.070728
1.9532,9202.107438,8191.469642
1.9612,9333.455565,8260.306888
1.9624,9432.614049,8326.536406
1.9612,9446.592006,8389.447244
1.9648,9556.247954,8448.031541
1.9648,9603.455131,8501.442097
1.9708,9754.653168,8549.505597
1.968,9741.77363,8591.240812
1.9692,9755.007034,8615.015672
1.9648,9730.337564,8638.276611
1.9704,9829.739852,8656.2194
1.9704,9841.405999,8667.77278
1.9656,9848.514325,8673.02229
1.9664,9820.880916,8670.891089
1.9688,9857.32331,8661.726362
1.97,9814.484188,8645.109276
1.964,9762.167408,8621.732997
1.9704,9794.587923,8591.485908
1.9672,9756.030475,8555.036328
1.9696,9717.582026,8512.350847
1.9656,9645.621631,8464.309763
1.966,9588.243912,8411.448875
1.9632,9524.558256,8354.381964
1.9628,9440.282993,8294.263685
1.9616,9378.840807,8231.824636
1.9636,9296.51699,8168.438295
1.9616,9234.613619,8104.343498
1.9616,9158.000124,8040.246456
1.966,9105.322641,7977.81047
1.9604,9019.127508,7917.196545
1.96,8961.32538,7860.695523
1.9552,8875.122972,7808.452181
1.9508,8794.864392,7761.085311
1.9572,8826.81549,7719.825808
1.9516,8740.482595,7685.026963
1.9484,8691.17397,7655.079691
1.9468,8664.336352,7629.796495
1.944,8632.919968,7609.959388
1.946,8658.166365,7593.416168
